Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
500,True,10,2.0,6,0.125,1,0.020833333333333332,2,1.2916666666666667,24.0,93.75,011001100100001111100011110110111000100110000110,011010000110111101101100010000110,holC*
500,False,10,2.0,12,0.375,N/A,N/A,12,1.25,16.0,62.5,01100001011011101101100011000110,01100001011011101101100011000110,anØÆ
500,True,10,2.0,9,0.1875,1,0.020833333333333332,7,1.0833333333333333,24.0,78.125,011001101100101111101101000100110001000101000110,011010010110101001001010011000110,ijJc*
500,False,10,2.0,4,0.125,N/A,N/A,4,1.75,16.0,87.5,01111000011011100110110011000001,01111000011011100110110011000001,xnlÁ
500,True,10,2.0,7,0.14583333333333334,1,0.020833333333333332,4,1.2083333333333333,24.0,87.5,011001101100001101101111110100110001001101000110,011010000110111101001110111000110,hoNã*
500,False,10,2.0,6,0.1875,N/A,N/A,6,1.625,16.0,81.25,01101000011011100100100101000011,01101000011011100100100101000011,hnIC
500,True,10,2.0,20,0.4166666666666667,2,0.041666666666666664,15,0.75,24.0,53.125,011001011001111111101111101100100100101110001100,010100111110111011001000110001100,SîÈÆ*
500,False,10,2.0,14,0.4375,N/A,N/A,14,1.125,16.0,56.25,01110000110011101101100011000110,01110000110011101101100011000110,pÎØÆ
500,True,10,2.0,11,0.22916666666666666,1,0.020833333333333332,8,1.0416666666666667,24.0,75.0,011011001000101011100111010110110000001000000110,010000010100111101101100100000110,AOl**
500,False,10,2.0,4,0.125,N/A,N/A,4,1.75,16.0,87.5,01101000111011110010110001100010,01101000111011110010110001100010,hï*b
500,True,10,2.0,5,0.10416666666666667,2,0.041666666666666664,4,1.2083333333333333,24.0,87.5,011001100100011111100110110100111000001101000010,001010001110110101001100011000010,*íLa*
500,False,10,2.0,17,0.53125,N/A,N/A,17,0.9375,16.0,46.875,01010000110111101001100011001010,01010000110111101001100011001010,PÞ*Ê
500,True,10,2.0,15,0.3125,1,0.020833333333333332,8,1.0416666666666667,24.0,75.0,000011101100001111101111000101010000101110000110,011010000110111001010100110000100,hnTÂ*
500,False,10,2.0,13,0.40625,N/A,N/A,13,1.1875,16.0,59.375,01001001110110110100100011001010,01001001110110110100100011001010,IÛHÊ
500,True,10,2.0,14,0.2916666666666667,2,0.041666666666666664,10,0.9583333333333334,24.0,68.75,011001101100011011001101100100110000101110000100,011010001100001001001100110000100,hÂLÂ*
500,False,10,2.0,4,0.125,N/A,N/A,4,1.75,16.0,87.5,01101000111001110110110101100011,01101000111001110110110101100011,hçmc
500,True,10,2.0,22,0.4583333333333333,1,0.020833333333333332,15,0.75,24.0,53.125,010011011000011101001111001101100000001010000100,110100001110111011011000100000100,ÐîØ**
500,False,10,2.0,14,0.4375,N/A,N/A,14,1.125,16.0,56.25,00101000110110100101100111000010,00101000110110100101100111000010,*ÚYÂ
500,True,10,2.0,9,0.1875,3,0.0625,7,1.0833333333333333,24.0,78.125,011101101100011110100101000100110000000101000110,111010001010101011001100011000010,èªÌa*
500,False,10,2.0,14,0.4375,N/A,N/A,14,1.125,16.0,56.25,01110010110010101101110011001011,01110010110010101101110011001011,rÊÜË
500,True,10,2.0,6,0.125,0,0.0,5,1.1666666666666667,24.0,84.375,011001101100001111101101100100111000000101011010,011010000110101001001100011011010,hjLm*
500,False,10,2.0,13,0.40625,N/A,N/A,13,1.1875,16.0,59.375,01111000110111101101100011000010,01111000110111101101100011000010,xÞØÂ
500,True,10,2.0,20,0.4166666666666667,2,0.041666666666666664,13,0.8333333333333334,24.0,59.375,010011001001111011001111101101110000001110000100,010000101100111011011100110000100,BÎÜÂ*
500,False,10,2.0,15,0.46875,N/A,N/A,15,1.0625,16.0,53.125,01011000110111101101101011000010,01011000110111101101101011000010,XÞÚÂ
500,True,10,2.0,6,0.125,2,0.041666666666666664,6,1.125,24.0,81.25,011101101100011111100111110110110000010101001110,111010001010111101101101011001110,è*mg*
500,False,10,2.0,13,0.40625,N/A,N/A,13,1.1875,16.0,59.375,01001000110111101101100011000010,01001000110111101101100011000010,HÞØÂ
500,True,10,2.0,19,0.3958333333333333,1,0.020833333333333332,13,0.8333333333333334,24.0,59.375,001111001000111111001111100100110000101010001110,110000011110111001001101100001110,ÁîM**
500,False,10,2.0,6,0.1875,N/A,N/A,6,1.625,16.0,81.25,01101001010011000100100001100001,01101001010011000100100001100001,iLHa
500,True,10,2.0,8,0.16666666666666666,3,0.0625,9,1.0,24.0,71.875,001001001100001111000110110010111001000101010110,010110000110110100100111011010110,Xm*k*
500,False,10,2.0,4,0.125,N/A,N/A,4,1.75,16.0,87.5,01101100111011110100110001000001,01101100111011110100110001000001,lïLA
500,True,10,2.0,13,0.2708333333333333,2,0.041666666666666664,7,1.0833333333333333,24.0,78.125,011001101100001111001110010101100000100111100100,011010000110111101011001011100100,hoYr*
500,False,10,2.0,4,0.125,N/A,N/A,4,1.75,16.0,87.5,01100100011011110010110001100011,01100100011011110010110001100011,do*c
500,True,10,2.0,13,0.2708333333333333,3,0.0625,10,0.9583333333333334,24.0,68.75,011001101000011111000111100100110010101011010110,011000001110110001001100100010110,*ìL**
500,False,10,2.0,1,0.03125,N/A,N/A,1,1.9375,16.0,96.875,01101000011011110110100001100001,01101000011011110110100001100001,hoha
500,True,10,2.0,20,0.4166666666666667,1,0.020833333333333332,13,0.8333333333333334,24.0,59.375,011011001100011101001101001101010001001010000110,010010001110101011010110100000110,HêÖ**
500,False,10,2.0,10,0.3125,N/A,N/A,10,1.375,16.0,68.75,01111001110011100100100011000011,01111001110011100100100011000011,yÎHÃ
500,True,10,2.0,9,0.1875,1,0.020833333333333332,8,1.0416666666666667,24.0,75.0,011001111100101111000110111100110000001100000010,011110110110110111001100110000010,*mÌÁ*
500,False,10,2.0,12,0.375,N/A,N/A,12,1.25,16.0,62.5,01100001110010100111000011100111,01100001110010100111000011100111,aÊpç
500,True,10,2.0,17,0.3541666666666667,1,0.020833333333333332,11,0.9166666666666666,24.0,65.625,001011101100011110001110100100100001011111000100,011010001110110011001011111000100,hìËâ*
500,False,10,2.0,12,0.375,N/A,N/A,12,1.25,16.0,62.5,01101001110111100111100111000111,01101001110111100111100111000111,iÞyÇ
