Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
400,True,10,2.4999999999999996,23,0.4791666666666667,3,0.0625,15,0.9374999999999999,19.200000000000003,53.125,011101101010011110001101001110000001110010110000,111001000110101010100011000100000,äj***
400,False,10,2.5,13,0.40625,N/A,N/A,13,1.484375,12.8,59.375,01101010111011100010001110101010,01101010111011100010001110101010,jî*ª
400,True,10,2.4999999999999996,21,0.4375,1,0.020833333333333332,15,0.9374999999999999,19.200000000000003,53.125,001001011000011110011110010100000101010100100110,010100001111100101000011010100110,PùCS*
400,False,10,2.5,13,0.40625,N/A,N/A,13,1.484375,12.8,59.375,01100001110111010110011101011000,01100001110111010110011101011000,aÝgX
400,True,10,2.4999999999999996,23,0.4791666666666667,0,0.0,14,0.9895833333333331,19.200000000000003,56.25,000101011000011100011100010110011001100010110010,110100001111100101100110000110010,Ðùf**
400,False,10,2.5,16,0.5,N/A,N/A,16,1.25,12.8,50.0,01000010010111011010100110001100,01000010010111011010100110001100,B***
400,True,10,2.4999999999999996,20,0.4166666666666667,2,0.041666666666666664,14,0.9895833333333331,19.200000000000003,56.25,001101101101001110001111001010000010110000110010,111010100110101010100001000111010,êj***
400,False,10,2.5,14,0.4375,N/A,N/A,14,1.40625,12.8,56.25,01101001110111001010011100001001,01101001110111001010011100001001,iÜ**
400,True,10,2.4999999999999996,23,0.4791666666666667,3,0.0625,16,0.8854166666666665,19.200000000000003,50.0,011001101010111111011111000011000000111100111001,011001011110111000110001110111001,eî1Ü*
400,False,10,2.5,14,0.4375,N/A,N/A,14,1.40625,12.8,56.25,01100010111111010010011000011010,01100010111111010010011000011010,bý**
400,True,10,2.4999999999999996,19,0.3958333333333333,2,0.041666666666666664,10,1.1979166666666665,19.200000000000003,68.75,001001111000111101011111010110010100100000100100,011100011110111101100100000100100,qïd**
400,False,10,2.5,16,0.5,N/A,N/A,16,1.25,12.8,50.0,00110100111111100100000111000110,00110100111111100100000111000110,4þAÆ
400,True,10,2.4999999999999996,15,0.3125,1,0.020833333333333332,9,1.2499999999999998,19.200000000000003,71.875,001001001100011111001111111010100000101100011011,010010001110111110101000110011011,Hï*Í*
400,False,10,2.5,17,0.53125,N/A,N/A,17,1.171875,12.8,46.875,01101001101010100001000011011110,01101001101010100001000011011110,iª*Þ
400,True,10,2.4999999999999996,13,0.2708333333333333,0,0.0,8,1.302083333333333,19.200000000000003,75.0,011100100100001111000111001011100100010101000010,101010000110111010111001011000010,*n¹a*
400,False,10,2.5,15,0.46875,N/A,N/A,15,1.328125,12.8,53.125,01101011110111010010001100001000,01101011110111010010001100001000,kÝ**
400,True,10,2.4999999999999996,18,0.375,1,0.020833333333333332,13,1.0416666666666665,19.200000000000003,59.375,011001110000111110001100110010001010110001100010,011100011110100100100001001100000,qé*0*
400,False,10,2.5,15,0.46875,N/A,N/A,15,1.328125,12.8,53.125,01101001010111000010001100111100,01101001010111000010001100111100,i***
400,True,10,2.4999999999999996,23,0.4791666666666667,1,0.020833333333333332,14,0.9895833333333331,19.200000000000003,56.25,001101101110011010001101010011000001100001111001,111011001100101100111010001111001,ìË***
400,False,10,2.5,12,0.375,N/A,N/A,12,1.5625,12.8,62.5,01101000011011101101100110000110,01101000011011101101100110000110,hnÙ*
400,True,10,2.4999999999999996,23,0.4791666666666667,1,0.020833333333333332,14,0.9895833333333331,19.200000000000003,56.25,001101010010111110001111010110000010101000110010,110101011110111101100000100110011,Õï***
400,False,10,2.5,19,0.59375,N/A,N/A,19,1.015625,12.8,40.625,00100101111101011100100110001110,00100101111101011100100110001110,*õÉ*
400,True,10,2.4999999999999996,22,0.4583333333333333,2,0.041666666666666664,16,0.8854166666666665,19.200000000000003,50.0,011101101101111111001111001011010100111000110000,111000111110111010110101110110000,ãîµØ*
400,False,10,2.5,13,0.40625,N/A,N/A,13,1.484375,12.8,59.375,01101000011011101101001110000100,01101000011011101101001110000100,hnÓ*
400,True,10,2.4999999999999996,20,0.4166666666666667,1,0.020833333333333332,13,1.0416666666666665,19.200000000000003,59.375,001001011001111100001111010110000000100100010100,010100111110111101100001010010100,SïaJ*
400,False,10,2.5,8,0.25,N/A,N/A,8,1.875,12.8,75.0,01111000011011110100101011000010,01111000011011110100101011000010,xoJÂ
400,True,10,2.4999999999999996,19,0.3958333333333333,3,0.0625,16,0.8854166666666665,19.200000000000003,50.0,011001001000111111001110100111000100101000110010,010000011010110001110000100111010,A*p**
400,False,10,2.5,13,0.40625,N/A,N/A,13,1.484375,12.8,59.375,00101000010011101011100110000100,00101000010011101011100110000100,*N¹*
400,True,10,2.4999999999999996,28,0.5833333333333334,3,0.0625,15,0.9374999999999999,19.200000000000003,53.125,001010110000111100010110001110000101110011010111,001000011111110011110010001010111,*üò**
400,False,10,2.5,16,0.5,N/A,N/A,16,1.25,12.8,50.0,01101000010111101101001110010100,01101000010111101101001110010100,h*Ó*
400,True,10,2.4999999999999996,21,0.4375,2,0.041666666666666664,11,1.1458333333333333,19.200000000000003,65.625,001001100000011111001111001011001100001010010001,011000000110111000110000100010001,*n0**
400,False,10,2.5,13,0.40625,N/A,N/A,13,1.484375,12.8,59.375,01101000011111101101000100000110,01101000011111101101000100000110,h*Ñ*
400,True,10,2.4999999999999996,22,0.4583333333333333,2,0.041666666666666664,15,0.9374999999999999,19.200000000000003,53.125,010011011000011110011110110110000001010010110011,110100001111110101100011000110011,Ðýc**
400,False,10,2.5,15,0.46875,N/A,N/A,15,1.328125,12.8,53.125,01100000110101101101100010010101,01100000110101101101100010010101,*ÖØ*
400,True,10,2.4999999999999996,24,0.5,2,0.041666666666666664,15,0.9374999999999999,19.200000000000003,53.125,001011010100111010011111010101000000011001010100,010110011101111101110001101010100,Yßqª*
400,False,10,2.5,19,0.59375,N/A,N/A,19,1.015625,12.8,40.625,00101001010010001001001110010101,00101001010010001001001110010101,*H**
400,True,10,2.4999999999999996,19,0.3958333333333333,2,0.041666666666666664,13,1.0416666666666665,19.200000000000003,59.375,011001001001011110011110010010001001101001101010,010010101111110100100010101101010,Jý*µ*
400,False,10,2.5,12,0.375,N/A,N/A,12,1.5625,12.8,62.5,01101000001011111101100110000110,01101000001011111101100110000110,h*Ù*
400,True,10,2.4999999999999996,29,0.6041666666666666,1,0.020833333333333332,22,0.5729166666666666,19.200000000000003,31.25,011011010010111000011000110100001001110000110001,010101011101000101000011000111001,UÑC**
400,False,10,2.5,16,0.5,N/A,N/A,16,1.25,12.8,50.0,00101101001011101101000110000100,00101101001011101101000110000100,**Ñ*
