Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
3000,True,10,0.3333333333333333,3,0.0625,1,0.020833333333333332,3,0.20833333333333334,144.0,90.625,011001101100001111100111110110111000001111000110,011010000110111101101110111000110,honã*
3000,False,10,0.3333333333333333,0,0.0,N/A,N/A,0,0.3333333333333333,96.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
3000,True,10,0.3333333333333333,8,0.16666666666666666,2,0.041666666666666664,7,0.18055555555555555,144.0,78.125,011001101100011111000111100100110000001111000110,011010001110110001001110111000110,hìNã*
3000,False,10,0.3333333333333333,0,0.0,N/A,N/A,0,0.3333333333333333,96.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
3000,True,10,0.3333333333333333,5,0.10416666666666667,2,0.041666666666666664,3,0.20833333333333334,144.0,90.625,011001101100001111100111100110110000001111000110,011010000110111101101110111000110,honã*
3000,False,10,0.3333333333333333,0,0.0,N/A,N/A,0,0.3333333333333333,96.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
3000,True,10,0.3333333333333333,2,0.041666666666666664,0,0.0,1,0.2222222222222222,144.0,96.875,011001101100001111100111110110111000000111000110,011010000110111101101100011000110,holc*
3000,False,10,0.3333333333333333,0,0.0,N/A,N/A,0,0.3333333333333333,96.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
3000,True,10,0.3333333333333333,8,0.16666666666666666,1,0.020833333333333332,5,0.19444444444444445,144.0,84.375,011001101100001111000111100100110000001111000111,011010000110110001001100111000111,hlLã*
3000,False,10,0.3333333333333333,0,0.0,N/A,N/A,0,0.3333333333333333,96.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
3000,True,10,0.3333333333333333,9,0.1875,2,0.041666666666666664,7,0.18055555555555555,144.0,78.125,011001101100001111000111100100110000001110000100,011010000110110001001100110000100,hlLÂ*
