Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
1000,True,10,1.0,9,0.1875,2,0.041666666666666664,6,0.5625,48.0,81.25,011001101100001111000111100100110000001110001110,011010000110110001001100010001110,hlLG*
1000,False,10,1.0,2,0.0625,N/A,N/A,2,0.9375,32.0,93.75,01101000011011100110110001100011,01101000011011100110110001100011,hnlc
1000,True,10,1.0,12,0.25,0,0.0,8,0.5208333333333334,48.0,75.0,011001101100011111001111100100110000001010000100,011010001110111001001100100000100,hîL**
1000,False,10,1.0,9,0.28125,N/A,N/A,9,0.71875,32.0,71.875,01101000011111100101100011000010,01101000011111100101100011000010,h*XÂ
1000,True,10,1.0,16,0.3333333333333333,2,0.041666666666666664,9,0.5,48.0,71.875,011011001000011111001111101100110000001010000100,011000001110111111001100100000100,*ïÌ**
1000,False,10,1.0,1,0.03125,N/A,N/A,1,0.96875,32.0,96.875,01101000011011110010110001100001,01101000011011110010110001100001,ho*a
1000,True,10,1.0,6,0.125,1,0.020833333333333332,4,0.6041666666666666,48.0,87.5,011001101100001111100111110000110000000111100110,011010000110111100001100011100111,ho*s*
1000,False,10,1.0,3,0.09375,N/A,N/A,3,0.90625,32.0,90.625,01101000011011110110100001100111,01101000011011110110100001100111,hohg
1000,True,10,1.0,10,0.20833333333333334,1,0.020833333333333332,7,0.5416666666666666,48.0,78.125,011001101100001111001111100101110000001110000000,011010000110111001010100110000000,hnTÀ*
1000,False,10,1.0,5,0.15625,N/A,N/A,5,0.84375,32.0,84.375,01101000011111100110110011000011,01101000011111100110110011000011,h*lÃ
1000,True,10,1.0,14,0.2916666666666667,2,0.041666666666666664,9,0.5,48.0,71.875,011011001100001111001111100000110000001110001100,010010000110111000001100110001100,Hn*Æ*
1000,False,10,1.0,12,0.375,N/A,N/A,12,0.625,32.0,62.5,01011000110011101100100011000010,01011000110011101100100011000010,XÎÈÂ
1000,True,10,1.0,17,0.3541666666666667,1,0.020833333333333332,11,0.4583333333333333,48.0,65.625,011011001000011111001111101101110000001010000100,011000001110111011011100100000100,*îÜ**
1000,False,10,1.0,15,0.46875,N/A,N/A,15,0.53125,32.0,53.125,01010000110111101101100011000010,01010000110111101101100011000010,PÞØÂ
1000,True,10,1.0,10,0.20833333333333334,0,0.0,6,0.5625,48.0,81.25,011001101100011111000111100000110000001111000111,011010001110111000001100111000111,hî*ã*
1000,False,10,1.0,4,0.125,N/A,N/A,4,0.875,32.0,87.5,01101000011011100111100001100000,01101000011011100111100001100000,hnx*
1000,True,10,1.0,6,0.125,2,0.041666666666666664,4,0.6041666666666666,48.0,87.5,011001101100011111100111100110110000001111000110,011010001110111101101110111000110,hïnã*
1000,False,10,1.0,3,0.09375,N/A,N/A,3,0.90625,32.0,90.625,01101000011111110110110001000011,01101000011111110110110001000011,h*lC
1000,True,10,1.0,6,0.125,2,0.041666666666666664,4,0.6041666666666666,48.0,87.5,011001111000001111100111111110110000000111000110,011100000010111101101100011000110,p*lc*
1000,False,10,1.0,9,0.28125,N/A,N/A,9,0.71875,32.0,71.875,01111000111011100100100011000010,01111000111011100100100011000010,xîHÂ
1000,True,10,1.0,17,0.3541666666666667,1,0.020833333333333332,11,0.4583333333333333,48.0,65.625,011011001000011111001111101101110000001010000100,011000001110111011011100100000100,*îÜ**
