Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
4000,True,10,0.25,3,0.0625,2,0.041666666666666664,1,0.16666666666666666,192.0,96.875,011001100000001111100111110110111000000111000010,011000000110111101101100011000010,*ola*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,5,0.10416666666666667,2,0.041666666666666664,3,0.15625,192.0,90.625,011001101100001111100111110111110000001111000110,011010000110111101101110111000110,honã*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
4000,False,10,0.25,1,0.03125,N/A,N/A,1,0.2421875,128.0,96.875,01100000011011110110110001100001,01100000011011110110110001100001,*ola
4000,True,10,0.25,3,0.0625,0,0.0,2,0.16145833333333334,192.0,93.75,011001101100001111100111110110111000001111000000,011010000110111101101100111000000,holà*
4000,False,10,0.25,1,0.03125,N/A,N/A,1,0.2421875,128.0,96.875,01101000011011110110110001100000,01101000011011110110110001100000,hol*
4000,True,10,0.25,6,0.125,1,0.020833333333333332,5,0.14583333333333334,192.0,84.375,011001101100001111100111100100110000001111000110,011010000110111001001110111000110,hnNã*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,5,0.10416666666666667,2,0.041666666666666664,3,0.15625,192.0,90.625,011001101100001111100111110111110000001111000110,011010000110111101101110111000110,honã*
4000,False,10,0.25,1,0.03125,N/A,N/A,1,0.2421875,128.0,96.875,01101000011011110110110001100011,01101000011011110110110001100011,holc
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
4000,False,10,0.25,1,0.03125,N/A,N/A,1,0.2421875,128.0,96.875,01100000011011110110110001100001,01100000011011110110110001100001,*ola
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,8,0.16666666666666666,1,0.020833333333333332,5,0.14583333333333334,192.0,84.375,011001101100001111000111100100110000001111000111,011010000110110001001100111000111,hlLã*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,4,0.08333333333333333,1,0.020833333333333332,3,0.15625,192.0,90.625,011001101100001111100111110110110000001111000110,011010000110111101101110111000110,honã*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,2,0.041666666666666664,0,0.0,1,0.16666666666666666,192.0,96.875,011001101100001111100111110110111000000111000110,011010000110111101101100011000110,holc*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,2,0.041666666666666664,0,0.0,1,0.16666666666666666,192.0,96.875,011001101100001111100111110110111000000111000000,011010000110111101101100011000000,hol**
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,2,0.041666666666666664,0,0.0,1,0.16666666666666666,192.0,96.875,011001101100001111100111110110111000000111000000,011010000110111101101100011000000,hol**
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,2,0.041666666666666664,0,0.0,1,0.16666666666666666,192.0,96.875,011001101100001111100111110110111000000111000110,011010000110111101101100011000110,holc*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,4,0.08333333333333333,1,0.020833333333333332,1,0.16666666666666666,192.0,96.875,011001101100001111100111100110110000000111000110,011010000110111101101100011000110,holc*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
4000,False,10,0.25,0,0.0,N/A,N/A,0,0.25,128.0,100.0,01101000011011110110110001100001,01101000011011110110110001100001,hola
4000,True,10,0.25,1,0.020833333333333332,1,0.020833333333333332,0,0.171875,192.0,100.0,011001101100001111100111110110111000000111000010,011010000110111101101100011000010,hola*
