Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
100,True,10,9.999999999999998,22,0.4583333333333333,3,0.0625,15,3.7499999999999996,4.800000000000001,53.125,010110100110010101110001110010100000101100110111,101011001011001100101000110110111,*³*Û*
100,False,10,10.0,11,0.34375,N/A,N/A,11,6.5625,3.2,65.625,00101010001011000110000100101011,00101010001011000110000100101011,**a*
100,True,10,9.999999999999998,25,0.5208333333333334,2,0.041666666666666664,16,3.541666666666666,4.800000000000001,50.0,001010110101001011001001110001001110011100101100,001110100100001100011001110100100,*C*Ò*
100,False,10,10.0,14,0.4375,N/A,N/A,14,5.625,3.2,56.25,00110010010110100101010101101000,00110010010110100101010101101000,2ZUh
100,True,10,9.999999999999998,15,0.3125,3,0.0625,10,4.791666666666666,4.800000000000001,68.75,010101100100001011010111001110110001001101010111,110010000101111001101110111011111,È*nï*
100,False,10,10.0,7,0.21875,N/A,N/A,7,7.8125,3.2,78.125,00101010011001000110110011110001,00101010011001000110110011110001,*dlñ
100,True,10,9.999999999999998,24,0.5,2,0.041666666666666664,18,3.1249999999999996,4.800000000000001,43.75,011010011110110101010010101011011101000111100100,010111011011010010110110011100100,***r*
100,False,10,10.0,13,0.40625,N/A,N/A,13,5.9375,3.2,59.375,01100100101110110000001101100011,01100100101110110000001101100011,d**c
100,True,10,9.999999999999998,22,0.4583333333333333,0,0.0,14,3.9583333333333326,4.800000000000001,56.25,001000101010111011000101010001110011100110011011,001001011100101100011110010011011,*Ë*M*
100,False,10,10.0,14,0.4375,N/A,N/A,14,5.625,3.2,56.25,01100001011111001100011000111010,01100001011111001100011000111010,a*Æ*
100,True,10,9.999999999999998,21,0.4375,1,0.020833333333333332,14,3.9583333333333326,4.800000000000001,56.25,011010100100001111010011101010010000110010101101,001010000111011010100101000101101,*v***
100,False,10,10.0,15,0.46875,N/A,N/A,15,5.3125,3.2,53.125,01110010101101101000011001110000,01110010101101101000011001110000,r**p
100,True,10,9.999999999999998,24,0.5,1,0.020833333333333332,16,3.541666666666666,4.800000000000001,50.0,011010110110100101010011000110010110010010110110,001111010011011001100101000111110,*6e**
100,False,10,10.0,15,0.46875,N/A,N/A,15,5.3125,3.2,53.125,01100101001101000011001011110001,01100101001101000011001011110001,e42ñ
100,True,10,9.999999999999998,20,0.4166666666666667,2,0.041666666666666664,14,3.9583333333333326,4.800000000000001,56.25,010100110110010010100010100110010001101111000110,101111001000010001100110111000110,¼*fã*
100,False,10,10.0,15,0.46875,N/A,N/A,15,5.3125,3.2,53.125,00101100011001010001001000011011,00101100011001010001001000011011,*e**
100,True,10,9.999999999999998,20,0.4166666666666667,0,0.0,15,3.7499999999999996,4.800000000000001,53.125,011001010100010110010111001010011001011101001101,010110001011111010100111111001101,X¾*æ*
100,False,10,10.0,10,0.3125,N/A,N/A,10,6.875,3.2,68.75,00011010110111010110110001110011,00011010110111010110110001110011,*Ýls
100,True,10,9.999999999999998,19,0.3958333333333333,2,0.041666666666666664,15,3.7499999999999996,4.800000000000001,53.125,011100100100010100101001110101010100010100011010,101010001010001001010101010111010,**U**
100,False,10,10.0,15,0.46875,N/A,N/A,15,5.3125,3.2,53.125,00100100001101010011010010110010,00100100001101010011010010110010,*54²
100,True,10,9.999999999999998,19,0.3958333333333333,0,0.0,13,4.166666666666666,4.800000000000001,59.375,000100110100011101000100110100110001011001100110,101110001110100101001111101100110,*éO³*
100,False,10,10.0,10,0.3125,N/A,N/A,10,6.875,3.2,68.75,00111100101011110111011101110001,00111100101011110111011101110001,**wq
100,True,10,9.999999999999998,20,0.4166666666666667,1,0.020833333333333332,18,3.1249999999999996,4.800000000000001,43.75,001100101010001011110001100010101101010001110111,101001100101001000101011001110111,*R***
100,False,10,10.0,12,0.375,N/A,N/A,12,6.25,3.2,62.5,00101101011101010011010001110100,00101101011101010011010001110100,*u4t
100,True,10,9.999999999999998,20,0.4166666666666667,1,0.020833333333333332,15,3.7499999999999996,4.800000000000001,53.125,001000101010010111010011011101011001000110000101,001001001011011111010110010000101,**ÖB*
100,False,10,10.0,14,0.4375,N/A,N/A,14,5.625,3.2,56.25,01110011001100101010010000110001,01110011001100101010010000110001,s2*1
100,True,10,9.999999999999998,24,0.5,0,0.0,17,3.333333333333333,4.800000000000001,46.875,010100100010010010100101100101100101000110110001,101001001000101001011010010110001,**ZX*
100,False,10,10.0,15,0.46875,N/A,N/A,15,5.3125,3.2,53.125,01110010011010011001010110110101,01110010011010011001010110110101,ri*µ
100,True,10,9.999999999999998,22,0.4583333333333333,0,0.0,17,3.333333333333333,4.800000000000001,46.875,001000101010100011011010110100110011011000110010,001001010001010101001111100110010,**O**
100,False,10,10.0,17,0.53125,N/A,N/A,17,4.6875,3.2,46.875,01010101011001010011101101010110,01010101011001010011101101010110,Ue*V
100,True,10,9.999999999999998,21,0.4375,2,0.041666666666666664,14,3.9583333333333326,4.800000000000001,56.25,000100101110001010110101010101010110011101101110,101011000100101101010101111111110,*KUÿ*
100,False,10,10.0,16,0.5,N/A,N/A,16,5.0,3.2,50.0,00110100101110100101001000100101,00110100101110100101001000100101,4ºR*
100,True,10,9.999999999999998,22,0.4583333333333333,0,0.0,15,3.7499999999999996,4.800000000000001,53.125,001000101101001001101010111010010101001110110101,001010100100010110100110110110101,*E*Ú*
100,False,10,10.0,13,0.40625,N/A,N/A,13,5.9375,3.2,59.375,00110101010101010010110001101010,00110101010101010010110001101010,5U*j
