Interval,Hamming,Sample rate,Bit Rate,Total Errors,Error Rate,Corrected Errors,Correction Rate,Meaningful Errors,Throughput,Transfer Time,Accuracy,Raw message,Message,String
200,True,10,4.999999999999999,16,0.3333333333333333,3,0.0625,12,2.1874999999999996,9.600000000000001,62.5,011100101010001110100100110011001001010011000110,111001000110101100110011001000110,äk3**
200,False,10,5.0,13,0.40625,N/A,N/A,13,2.96875,6.4,59.375,01100100110111100100100111001011,01100100110111100100100111001011,dÞIË
200,True,10,4.999999999999999,15,0.3125,1,0.020833333333333332,7,2.708333333333333,9.600000000000001,78.125,011011101000011111001111100100110000110111010101,011000001110111001001101011010111,*îMk*
200,False,10,5.0,8,0.25,N/A,N/A,8,3.75,6.4,75.0,00101101001101100110110101100001,00101101001101100110110101100001,*6ma
200,True,10,4.999999999999999,13,0.2708333333333333,1,0.020833333333333332,9,2.4999999999999996,9.600000000000001,71.875,010010101100001011000110101110110001101101000110,001010010100110011101110111000110,*Lîã*
200,False,10,5.0,15,0.46875,N/A,N/A,15,2.65625,6.4,53.125,01010001110011001100100111100111,01010001110011001100100111100111,QÌÉç
200,True,10,4.999999999999999,13,0.2708333333333333,2,0.041666666666666664,6,2.8124999999999996,9.600000000000001,81.25,010101011100101011001111010100111010100101000011,010110010100111101001100010000011,YOLA*
200,False,10,5.0,14,0.4375,N/A,N/A,14,2.8125,6.4,56.25,00100101110101010100100011110101,00100101110101010100100011110101,*ÕHõ
200,True,10,4.999999999999999,18,0.375,3,0.0625,13,2.083333333333333,9.600000000000001,59.375,011110101101111110101110110100101000101111001101,101010111110110101001000111101101,*íHö*
200,False,10,5.0,10,0.3125,N/A,N/A,10,3.4375,6.4,68.75,01101011011001100100111011001101,01101011011001100100111011001101,kfNÍ
200,True,10,4.999999999999999,15,0.3125,2,0.041666666666666664,9,2.4999999999999996,9.600000000000001,71.875,001001111010100110110111011010111000000010001010,011001010011111111101100000001010,e*ì**
200,False,10,5.0,8,0.25,N/A,N/A,8,3.75,6.4,75.0,01001010011011100010110111010001,01001010011011100010110111010001,Jn*Ñ
200,True,10,4.999999999999999,11,0.22916666666666666,2,0.041666666666666664,6,2.8124999999999996,9.600000000000001,81.25,001001100100100101100110100110110100100101000110,011010110010110001101100011000110,k*lc*
200,False,10,5.0,7,0.21875,N/A,N/A,7,3.90625,6.4,78.125,01101011011011110010010011101011,01101011011011110010010011101011,ko*ë
200,True,10,4.999999999999999,10,0.20833333333333334,2,0.041666666666666664,10,2.395833333333333,9.600000000000001,68.75,011001001000001110100111110011010001010101000110,010000000100111100110111011010110,*O7k*
200,False,10,5.0,15,0.46875,N/A,N/A,15,2.65625,6.4,53.125,01010100100101010010010011000011,01010100100101010010010011000011,T**Ã
200,True,10,4.999999999999999,15,0.3125,2,0.041666666666666664,9,2.4999999999999996,9.600000000000001,71.875,011001101100110101010111011010110010000111000101,011010011011111110101100111000101,i**â*
200,False,10,5.0,9,0.28125,N/A,N/A,9,3.59375,6.4,71.875,00101011010101100110010001000001,00101011010101100110010001000001,*VdA
200,True,10,4.999999999999999,15,0.3125,1,0.020833333333333332,12,2.1874999999999996,9.600000000000001,62.5,011000101100101011100110100001110000010010001011,001010010100110000011101000001011,*L***
200,False,10,5.0,9,0.28125,N/A,N/A,9,3.59375,6.4,71.875,00110001010011110110101001000011,00110001010011110110101001000011,1OjC
200,True,10,4.999999999999999,18,0.375,3,0.0625,14,1.9791666666666663,9.600000000000001,56.25,011101110101010101001111110101100001001101110110,111110101010111101011010110110110,ú*ZÛ*
200,False,10,5.0,13,0.40625,N/A,N/A,13,2.96875,6.4,59.375,00010001001011110110100010001100,00010001001011110110100010001100,**h*
200,True,10,4.999999999999999,14,0.2916666666666667,1,0.020833333333333332,11,2.2916666666666665,9.600000000000001,65.625,001011101100001110100101100110101001111001010100,001010000110101001101011101010100,*jkª*
200,False,10,5.0,16,0.5,N/A,N/A,16,2.5,6.4,50.0,01010000111011001011011011001010,01010000111011001011011011001010,Pì*Ê
